,age,amazon_prime,browse_items,buy_amazon_freq,choose_labeled,compare_items,expense_per_order,gender,shopping_cart_I only use Shopping Cart,shopping_cart_I use both very often,treat,gender*treat
0,4,1.0,3.5,7.0,False,4,4,1,0,1,True,1
1,4,1.0,10.0,1.0,False,4,2,1,1,0,False,0
2,2,1.0,3.5,0.2,True,4,2,0,1,0,True,0
3,2,0.0,1.0,0.0,False,1,2,0,1,0,False,0
4,2,1.0,1.0,0.2,True,3,2,1,1,0,True,1
5,2,1.0,1.0,1.0,False,3,2,0,0,1,False,0
6,2,1.0,1.0,1.0,False,2,5,0,1,0,False,0
7,2,1.0,3.5,0.2,True,4,2,0,1,0,True,0
8,2,1.0,10.0,0.2,True,4,1,0,1,0,True,0
9,2,1.0,10.0,1.0,False,4,2,1,1,0,False,0
10,2,1.0,3.5,1.0,False,4,2,0,1,0,True,0
11,2,1.0,3.5,1.0,True,4,2,0,1,0,False,0
12,2,1.0,3.5,1.0,True,4,3,0,1,0,True,0
13,3,0.0,3.5,0.0,False,4,1,0,1,0,False,0
14,2,1.0,3.5,1.0,True,4,2,0,1,0,True,0
15,1,1.0,3.5,0.2,True,4,2,0,1,0,False,0
16,1,1.0,3.5,0.0,False,4,1,0,1,0,False,0
17,2,1.0,10.0,0.2,True,4,2,1,1,0,True,1
18,2,1.0,3.5,7.0,True,4,2,1,0,0,False,0
19,2,1.0,3.5,0.2,False,4,2,0,0,0,True,0
20,2,1.0,3.5,0.2,True,4,1,0,1,0,False,0
21,3,1.0,3.5,0.2,False,4,2,0,1,0,True,0
22,2,1.0,3.5,0.0,True,5,1,1,1,0,False,0
23,2,1.0,3.5,1.0,False,2,2,1,1,0,True,1
24,2,1.0,1.0,1.0,False,3,2,0,1,0,False,0
25,2,1.0,3.5,0.2,True,4,2,0,0,1,True,0
26,2,1.0,3.5,0.2,False,4,1,0,0,1,True,0
27,2,1.0,3.5,0.2,False,5,1,0,0,1,False,0
28,3,1.0,3.5,0.2,True,3,1,0,1,0,True,0
29,2,1.0,3.5,0.0,False,4,1,0,0,1,False,0
30,2,0.5,10.0,0.2,False,4,2,1,1,0,True,1
31,2,0.0,3.5,0.2,True,4,2,0,1,0,False,0
32,2,1.0,3.5,0.0,True,4,1,0,1,0,False,0
33,3,0.0,3.5,0.2,True,1,1,1,1,0,True,1
34,4,1.0,3.5,7.0,False,3,4,0,0,1,False,0
35,2,1.0,3.5,0.2,True,4,1,0,1,0,False,0
36,2,0.0,3.5,0.0,True,4,1,0,1,0,True,0
37,2,0.0,3.5,0.2,True,4,1,0,1,0,False,0
38,2,1.0,3.5,7.0,True,2,4,0,0,0,True,0
39,2,1.0,10.0,0.0,True,4,1,1,1,0,True,1
40,3,1.0,10.0,0.2,True,4,1,1,1,0,False,0
41,3,1.0,3.5,0.2,True,4,1,1,0,1,False,0
42,3,1.0,3.5,0.2,True,4,1,0,0,1,True,0
43,3,1.0,3.5,0.2,False,4,1,0,1,0,False,0
44,2,1.0,3.5,0.2,True,5,1,0,1,0,True,0
